Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,d_s_ratio,demand_class,supply_class,Demand_Prediction
70,38,Urban,Silver,99,4.19,Morning,Economy,76,317.7718882,1.84,low_demand,low_supply,0
41,7,Urban,Gold,4,4.15,Night,Economy,83,364.9140561,5.86,low_demand,low_supply,0
59,40,Rural,Gold,64,4.72,Night,Economy,157,398.3194964,1.48,low_demand,high_supply,0
33,14,Urban,Regular,38,4.89,Morning,Economy,127,461.3060121,2.36,low_demand,low_supply,0
70,26,Urban,Silver,15,3.67,Night,Premium,70,358.2348071,2.69,low_demand,low_supply,0
45,7,Rural,Regular,87,4.35,Evening,Economy,74,224.3071068,6.43,low_demand,low_supply,0
98,71,Suburban,Regular,83,4.55,Morning,Economy,139,558.3815496,1.38,high_demand,high_supply,1
75,63,Urban,Gold,42,4.55,Evening,Premium,138,660.4425623,1.19,low_demand,high_supply,0
100,34,Rural,Gold,33,4.75,Night,Economy,156,537.4486717,2.94,high_demand,low_supply,1
76,23,Urban,Silver,53,3.94,Evening,Economy,117,480.1043704,3.3,low_demand,low_supply,0
32,12,Urban,Silver,69,3.68,Morning,Economy,55,162.2831045,2.67,low_demand,low_supply,0
35,23,Suburban,Gold,58,3.78,Afternoon,Economy,164,638.0445145,1.52,low_demand,low_supply,0
30,16,Suburban,Gold,89,3.63,Afternoon,Economy,142,420.111098,1.88,low_demand,low_supply,0
75,56,Urban,Regular,66,3.69,Evening,Premium,22,124.4906005,1.34,low_demand,high_supply,0
25,6,Rural,Regular,23,3.95,Morning,Premium,55,235.2781176,4.17,low_demand,low_supply,0
88,16,Suburban,Gold,26,4.18,Morning,Economy,32,127.3314901,5.5,high_demand,low_supply,1
43,26,Rural,Silver,69,4.9,Evening,Economy,107,391.0269904,1.65,low_demand,low_supply,0
39,20,Rural,Silver,97,4.25,Morning,Economy,121,319.5430197,1.95,low_demand,low_supply,0
77,63,Suburban,Gold,72,4.56,Morning,Economy,113,380.2853708,1.22,low_demand,high_supply,0
41,14,Suburban,Silver,59,4.72,Morning,Premium,49,179.6234225,2.93,low_demand,low_supply,0
51,20,Rural,Silver,97,4.8,Morning,Economy,130,452.1126401,2.55,low_demand,low_supply,0
30,10,Suburban,Gold,86,4.95,Evening,Economy,149,565.6691466,3.0,low_demand,low_supply,0
29,8,Urban,Gold,52,4.68,Afternoon,Premium,121,402.1558776,3.62,low_demand,low_supply,0
21,5,Rural,Gold,8,4.44,Afternoon,Premium,159,689.84216,4.2,low_demand,low_supply,0
50,15,Suburban,Regular,62,4.51,Night,Economy,83,307.6469281,3.33,low_demand,low_supply,0
61,42,Rural,Gold,11,3.72,Night,Economy,52,186.5262771,1.45,low_demand,high_supply,0
67,5,Suburban,Silver,81,4.53,Morning,Premium,14,91.06777716,13.4,low_demand,low_supply,0
73,22,Suburban,Regular,26,4.99,Night,Economy,33,143.8549861,3.32,low_demand,low_supply,0
35,18,Urban,Gold,27,3.82,Morning,Economy,158,553.8373591,1.94,low_demand,low_supply,0
96,58,Urban,Silver,25,3.61,Morning,Economy,85,336.5684837,1.66,high_demand,high_supply,1
38,28,Urban,Gold,8,4.83,Morning,Economy,29,95.02020686,1.36,low_demand,low_supply,0
75,28,Urban,Gold,6,4.02,Evening,Premium,171,575.0117219,2.68,low_demand,low_supply,0
57,26,Suburban,Silver,92,4.11,Afternoon,Premium,58,264.6757476,2.19,low_demand,low_supply,0
36,10,Rural,Gold,65,3.54,Night,Economy,53,185.6179239,3.6,low_demand,low_supply,0
73,27,Rural,Gold,98,3.97,Evening,Economy,57,251.1556503,2.7,low_demand,low_supply,0
68,29,Rural,Gold,51,3.99,Evening,Economy,110,299.6890563,2.34,low_demand,low_supply,0
25,9,Rural,Gold,11,3.58,Night,Economy,31,92.65681121,2.78,low_demand,low_supply,0
97,25,Urban,Regular,95,4.91,Night,Premium,101,332.2293764,3.88,high_demand,low_supply,1
30,7,Rural,Regular,85,3.74,Evening,Economy,44,184.1120897,4.29,low_demand,low_supply,0
83,7,Suburban,Gold,24,4.9,Morning,Premium,24,124.5817745,11.86,high_demand,low_supply,1
27,5,Rural,Gold,2,4.3,Evening,Economy,22,60.98181722,5.4,low_demand,low_supply,0
58,21,Suburban,Gold,72,4.14,Afternoon,Economy,10,35.88598786,2.76,low_demand,low_supply,0
32,15,Urban,Gold,67,3.76,Evening,Premium,23,132.1230188,2.13,low_demand,low_supply,0
76,8,Urban,Gold,40,4.68,Afternoon,Economy,157,561.5796822,9.5,low_demand,low_supply,0
21,9,Suburban,Regular,38,4.54,Morning,Economy,179,546.3787899,2.33,low_demand,low_supply,0
47,37,Urban,Gold,53,4.69,Night,Economy,41,147.4597413,1.27,low_demand,low_supply,0
33,20,Suburban,Regular,97,4.13,Morning,Premium,169,668.892214,1.65,low_demand,low_supply,0
92,66,Rural,Silver,26,3.56,Evening,Economy,19,62.06928479,1.39,high_demand,high_supply,1
24,7,Rural,Silver,34,3.51,Afternoon,Premium,111,477.7411362,3.43,low_demand,low_supply,0
75,9,Rural,Gold,71,4.06,Night,Economy,150,411.0057654,8.33,low_demand,low_supply,0
89,76,Urban,Gold,35,4.8,Night,Premium,177,650.2985712,1.17,high_demand,high_supply,1
67,20,Urban,Regular,42,4.13,Evening,Economy,68,243.2286176,3.35,low_demand,low_supply,0
61,23,Suburban,Silver,51,4.73,Evening,Premium,150,680.9330686,2.65,low_demand,low_supply,0
80,67,Rural,Regular,80,4.74,Night,Economy,147,432.3072577,1.19,low_demand,high_supply,0
66,15,Suburban,Gold,62,4.59,Night,Economy,161,720.7299449,4.4,low_demand,low_supply,0
39,12,Suburban,Regular,54,3.77,Morning,Premium,176,510.454375,3.25,low_demand,low_supply,0
46,22,Urban,Regular,9,4.33,Morning,Economy,128,522.7974319,2.09,low_demand,low_supply,0
89,74,Rural,Silver,41,4.89,Morning,Premium,115,432.1627923,1.2,high_demand,high_supply,1
60,16,Urban,Gold,56,4.33,Night,Premium,126,382.4570671,3.75,low_demand,low_supply,0
58,13,Rural,Regular,99,3.62,Morning,Premium,106,351.4393159,4.46,low_demand,low_supply,0
68,16,Urban,Silver,93,4.44,Morning,Premium,154,510.1957863,4.25,low_demand,low_supply,0
45,19,Suburban,Silver,71,3.72,Night,Economy,121,313.9264406,2.37,low_demand,low_supply,0
91,61,Suburban,Gold,100,4.88,Night,Economy,101,372.229822,1.49,high_demand,high_supply,1
39,12,Urban,Regular,70,4.02,Morning,Premium,66,314.4680085,3.25,low_demand,low_supply,0
97,9,Rural,Gold,58,4.32,Evening,Premium,142,491.5779539,10.78,high_demand,low_supply,1
42,18,Suburban,Silver,39,3.94,Afternoon,Economy,128,527.1558944,2.33,low_demand,low_supply,0
27,15,Urban,Gold,11,3.77,Evening,Economy,111,432.8493969,1.8,low_demand,low_supply,0
67,48,Rural,Regular,94,4.3,Evening,Premium,168,544.6027808,1.4,low_demand,high_supply,0
69,51,Urban,Regular,75,3.57,Night,Premium,136,470.1827135,1.35,low_demand,high_supply,0
69,47,Urban,Regular,65,4.22,Night,Economy,18,53.53910401,1.47,low_demand,high_supply,0
93,18,Suburban,Gold,34,3.54,Afternoon,Economy,80,352.0685727,5.17,high_demand,low_supply,1
84,74,Suburban,Regular,7,4.4,Afternoon,Premium,101,396.3698341,1.14,high_demand,high_supply,1
96,48,Urban,Gold,41,4.39,Morning,Economy,130,367.7829981,2.0,high_demand,high_supply,1
30,13,Suburban,Gold,72,4.18,Night,Premium,113,352.9356731,2.31,low_demand,low_supply,0
60,48,Suburban,Regular,15,4.06,Morning,Economy,78,339.1055826,1.25,low_demand,high_supply,0
72,39,Urban,Regular,39,3.77,Night,Premium,115,347.8959667,1.85,low_demand,high_supply,0
31,13,Suburban,Regular,82,4.63,Morning,Economy,108,469.2509136,2.38,low_demand,low_supply,0
71,13,Rural,Silver,60,4.3,Night,Premium,62,213.8430201,5.46,low_demand,low_supply,0
91,61,Rural,Silver,86,4.44,Morning,Premium,129,567.5392185,1.49,high_demand,high_supply,1
91,60,Rural,Gold,2,3.53,Evening,Premium,107,492.1790132,1.52,high_demand,high_supply,1
32,6,Urban,Silver,13,4.75,Afternoon,Economy,53,173.8874745,5.33,low_demand,low_supply,0
23,10,Suburban,Gold,47,4.84,Evening,Economy,125,418.1068244,2.3,low_demand,low_supply,0
61,47,Suburban,Silver,100,4.58,Night,Premium,157,658.3040013,1.3,low_demand,high_supply,0
57,40,Urban,Regular,78,3.62,Afternoon,Economy,171,764.5953414,1.42,low_demand,high_supply,0
89,70,Suburban,Gold,86,4.51,Afternoon,Economy,90,384.209292,1.27,high_demand,high_supply,1
64,45,Rural,Gold,22,3.96,Night,Premium,118,404.6018875,1.42,low_demand,high_supply,0
91,29,Urban,Regular,82,3.73,Afternoon,Premium,90,446.8170258,3.14,high_demand,low_supply,1
91,53,Suburban,Gold,67,4.56,Night,Economy,50,158.1067232,1.72,high_demand,high_supply,1
69,37,Suburban,Regular,47,4.39,Evening,Premium,60,284.2362895,1.86,low_demand,low_supply,0
71,61,Suburban,Regular,79,3.85,Afternoon,Economy,147,591.2989763,1.16,low_demand,high_supply,0
38,7,Rural,Silver,28,3.85,Evening,Economy,12,36.00027803,5.43,low_demand,low_supply,0
100,32,Suburban,Regular,67,3.94,Evening,Premium,162,581.1370846,3.12,high_demand,low_supply,1
65,51,Suburban,Gold,97,4.81,Night,Premium,144,588.1367699,1.27,low_demand,high_supply,0
73,38,Urban,Regular,91,4.23,Evening,Premium,86,400.267333,1.92,low_demand,low_supply,0
56,25,Suburban,Regular,87,3.73,Evening,Premium,172,575.4102708,2.24,low_demand,low_supply,0
75,55,Rural,Silver,80,4.7,Morning,Economy,69,190.9788527,1.36,low_demand,high_supply,0
97,21,Urban,Regular,43,3.79,Afternoon,Premium,106,398.1593839,4.62,high_demand,low_supply,1
94,71,Rural,Regular,48,4.73,Night,Premium,169,770.8733245,1.32,high_demand,high_supply,1
53,22,Urban,Silver,28,4.99,Afternoon,Premium,64,211.082023,2.41,low_demand,low_supply,0
81,8,Rural,Silver,78,4.8,Afternoon,Premium,141,618.4288567,10.12,low_demand,low_supply,0
47,34,Rural,Silver,87,3.53,Morning,Premium,170,739.22712,1.38,low_demand,low_supply,0
80,48,Suburban,Regular,13,4.44,Night,Economy,35,128.7410739,1.67,low_demand,high_supply,0
75,55,Rural,Gold,54,4.73,Night,Premium,145,584.49173,1.36,low_demand,high_supply,0
89,12,Urban,Silver,42,4.73,Afternoon,Economy,102,328.3139822,7.42,high_demand,low_supply,1
30,13,Rural,Gold,8,4.1,Afternoon,Economy,94,274.6803754,2.31,low_demand,low_supply,0
64,5,Rural,Gold,91,4.34,Evening,Premium,21,108.2430435,12.8,low_demand,low_supply,0
55,29,Suburban,Gold,92,4.85,Morning,Economy,44,181.7809396,1.9,low_demand,low_supply,0
94,76,Suburban,Gold,26,4.7,Morning,Premium,94,405.3179545,1.24,high_demand,high_supply,1
53,28,Urban,Gold,6,3.67,Evening,Economy,178,775.7916852,1.89,low_demand,low_supply,0
29,7,Suburban,Regular,68,3.98,Morning,Economy,114,289.1296809,4.14,low_demand,low_supply,0
29,17,Urban,Silver,76,3.61,Morning,Economy,166,674.1328476,1.71,low_demand,low_supply,0
75,42,Suburban,Silver,38,4.25,Afternoon,Economy,146,479.1199534,1.79,low_demand,high_supply,0
74,53,Suburban,Regular,60,3.93,Night,Economy,162,676.4404324,1.4,low_demand,high_supply,0
89,75,Urban,Silver,10,4.91,Evening,Economy,16,54.44953819,1.19,high_demand,high_supply,1
29,13,Suburban,Gold,44,4.29,Evening,Premium,87,267.740417,2.23,low_demand,low_supply,0
40,20,Rural,Silver,45,4.42,Evening,Premium,130,445.4842486,2.0,low_demand,low_supply,0
79,11,Urban,Regular,1,4.35,Night,Premium,45,210.2567597,7.18,low_demand,low_supply,0
98,87,Urban,Gold,87,4.28,Afternoon,Premium,170,603.8458025,1.13,high_demand,high_supply,1
95,76,Urban,Regular,74,4.39,Night,Economy,118,464.9915827,1.25,high_demand,high_supply,1
79,13,Rural,Gold,67,4.05,Evening,Premium,151,514.9363492,6.08,low_demand,low_supply,0
38,22,Suburban,Regular,18,4.17,Night,Premium,121,450.5387531,1.73,low_demand,low_supply,0
83,41,Suburban,Silver,48,3.64,Evening,Economy,176,741.3443926,2.02,high_demand,high_supply,1
59,24,Suburban,Regular,40,4.0,Afternoon,Premium,147,631.631297,2.46,low_demand,low_supply,0
51,11,Suburban,Regular,72,3.62,Afternoon,Economy,16,71.21364105,4.64,low_demand,low_supply,0
64,46,Rural,Silver,51,5.0,Evening,Premium,29,144.6013825,1.39,low_demand,high_supply,0
30,6,Rural,Regular,93,3.81,Evening,Economy,129,505.9219688,5.0,low_demand,low_supply,0
60,15,Suburban,Regular,95,4.84,Afternoon,Economy,180,726.3339146,4.0,low_demand,low_supply,0
75,51,Rural,Regular,17,4.83,Afternoon,Premium,79,283.4132788,1.47,low_demand,high_supply,0
25,15,Suburban,Regular,88,4.68,Afternoon,Premium,31,148.1864882,1.67,low_demand,low_supply,0
46,31,Suburban,Gold,67,3.53,Morning,Economy,61,158.5920931,1.48,low_demand,low_supply,0
48,11,Urban,Regular,86,3.55,Night,Economy,15,57.89462608,4.36,low_demand,low_supply,0
51,6,Rural,Gold,64,4.57,Morning,Economy,34,142.5577269,8.5,low_demand,low_supply,0
68,23,Suburban,Gold,96,4.77,Morning,Economy,105,359.1281131,2.96,low_demand,low_supply,0
89,8,Suburban,Silver,18,3.83,Morning,Economy,121,407.5520588,11.12,high_demand,low_supply,1
84,55,Suburban,Regular,1,4.47,Afternoon,Economy,146,487.3991192,1.53,high_demand,high_supply,1
50,8,Rural,Regular,25,3.8,Evening,Premium,13,89.61312852,6.25,low_demand,low_supply,0
99,40,Urban,Gold,26,4.83,Evening,Premium,151,510.6580782,2.48,high_demand,high_supply,1
21,9,Urban,Gold,91,4.82,Morning,Economy,47,171.6271186,2.33,low_demand,low_supply,0
53,19,Suburban,Silver,54,3.84,Evening,Economy,132,520.5653406,2.79,low_demand,low_supply,0
60,16,Urban,Gold,68,4.23,Night,Economy,108,458.0963268,3.75,low_demand,low_supply,0
32,22,Suburban,Silver,9,4.68,Night,Premium,135,530.1491564,1.45,low_demand,low_supply,0
51,25,Rural,Regular,21,4.43,Evening,Premium,38,200.2582591,2.04,low_demand,low_supply,0
22,5,Urban,Regular,75,4.39,Night,Premium,19,128.0167602,4.4,low_demand,low_supply,0
21,7,Rural,Regular,6,4.96,Afternoon,Premium,180,836.1164186,3.0,low_demand,low_supply,0
55,21,Rural,Silver,49,4.59,Morning,Economy,111,471.0890519,2.62,low_demand,low_supply,0
42,31,Rural,Gold,32,4.75,Night,Economy,12,50.64017558,1.35,low_demand,low_supply,0
86,26,Rural,Silver,31,3.69,Afternoon,Economy,85,263.1611767,3.31,high_demand,low_supply,1
48,18,Rural,Silver,60,4.47,Afternoon,Premium,124,524.1655595,2.67,low_demand,low_supply,0
82,65,Urban,Gold,43,4.8,Night,Premium,112,330.2265438,1.26,high_demand,high_supply,1
63,48,Rural,Regular,88,4.09,Morning,Economy,70,212.7407519,1.31,low_demand,high_supply,0
44,24,Urban,Regular,83,3.61,Night,Economy,13,48.92895254,1.83,low_demand,low_supply,0
39,18,Suburban,Gold,78,4.21,Afternoon,Economy,165,734.395119,2.17,low_demand,low_supply,0
23,7,Rural,Gold,98,4.35,Morning,Economy,76,281.3395023,3.29,low_demand,low_supply,0
31,7,Rural,Silver,27,4.73,Morning,Premium,141,476.2898578,4.43,low_demand,low_supply,0
44,7,Rural,Regular,55,3.66,Night,Premium,103,490.3421583,6.29,low_demand,low_supply,0
23,5,Urban,Gold,92,3.71,Night,Economy,105,363.4447759,4.6,low_demand,low_supply,0
63,46,Urban,Silver,36,4.59,Morning,Economy,18,49.83993576,1.37,low_demand,high_supply,0
25,15,Urban,Gold,15,4.18,Morning,Premium,176,516.829559,1.67,low_demand,low_supply,0
27,11,Rural,Regular,1,4.34,Night,Economy,99,262.6864664,2.45,low_demand,low_supply,0
57,28,Urban,Gold,27,4.58,Afternoon,Economy,107,423.5098574,2.04,low_demand,low_supply,0
83,26,Suburban,Gold,77,3.62,Night,Premium,74,373.9756358,3.19,high_demand,low_supply,1
80,5,Suburban,Regular,53,3.67,Evening,Premium,48,184.2429447,16.0,low_demand,low_supply,0
50,40,Rural,Silver,61,4.7,Evening,Premium,73,319.1109829,1.25,low_demand,high_supply,0
84,8,Rural,Gold,21,4.63,Night,Economy,172,549.2008068,10.5,high_demand,low_supply,1
90,54,Rural,Regular,1,3.59,Afternoon,Premium,87,427.8571629,1.67,high_demand,high_supply,1
28,9,Urban,Silver,68,4.82,Evening,Premium,43,164.3163905,3.11,low_demand,low_supply,0
97,64,Rural,Silver,62,3.52,Morning,Premium,152,638.1340202,1.52,high_demand,high_supply,1
99,22,Suburban,Silver,7,4.4,Morning,Economy,39,131.4435872,4.5,high_demand,low_supply,1
96,53,Rural,Regular,58,4.28,Afternoon,Economy,21,55.6373708,1.81,high_demand,high_supply,1
88,69,Rural,Gold,89,3.6,Evening,Premium,107,467.9274949,1.28,high_demand,high_supply,1
53,17,Rural,Silver,78,4.03,Afternoon,Premium,26,120.2471929,3.12,low_demand,low_supply,0
28,14,Rural,Silver,77,3.58,Afternoon,Economy,98,374.6551828,2.0,low_demand,low_supply,0
59,21,Rural,Regular,97,3.6,Afternoon,Premium,67,269.4441402,2.81,low_demand,low_supply,0
50,27,Suburban,Gold,100,4.22,Morning,Premium,173,685.6696936,1.85,low_demand,low_supply,0
89,8,Urban,Gold,40,3.59,Morning,Premium,151,528.0024896,11.12,high_demand,low_supply,1
83,34,Urban,Silver,96,4.71,Evening,Premium,176,812.0729939,2.44,high_demand,low_supply,1
73,14,Urban,Gold,28,4.31,Evening,Economy,29,118.9730584,5.21,low_demand,low_supply,0
76,35,Suburban,Regular,8,4.89,Afternoon,Premium,138,406.5899108,2.17,low_demand,low_supply,0
56,35,Rural,Silver,33,3.97,Morning,Economy,47,134.7758295,1.6,low_demand,low_supply,0
40,20,Rural,Regular,11,4.4,Afternoon,Economy,83,343.79852,2.0,low_demand,low_supply,0
27,6,Urban,Silver,92,3.73,Night,Premium,125,460.2837625,4.5,low_demand,low_supply,0
32,7,Urban,Regular,79,4.05,Morning,Economy,83,306.3904612,4.57,low_demand,low_supply,0
48,24,Urban,Silver,35,4.2,Night,Premium,51,251.4211394,2.0,low_demand,low_supply,0
71,41,Urban,Gold,31,3.81,Afternoon,Premium,140,614.6367132,1.73,low_demand,high_supply,0
53,6,Rural,Silver,74,4.12,Night,Economy,76,231.1651668,8.83,low_demand,low_supply,0
87,44,Rural,Silver,61,3.87,Evening,Premium,16,117.7636645,1.98,high_demand,high_supply,1
36,16,Urban,Regular,82,4.62,Afternoon,Premium,72,253.4912438,2.25,low_demand,low_supply,0
39,20,Rural,Gold,71,4.11,Morning,Economy,111,404.5983992,1.95,low_demand,low_supply,0
91,81,Rural,Gold,15,4.68,Evening,Premium,20,135.1772701,1.12,high_demand,high_supply,1
31,18,Urban,Regular,46,4.86,Night,Economy,128,360.8585507,1.72,low_demand,low_supply,0
94,67,Suburban,Silver,34,4.64,Night,Premium,64,231.3263185,1.4,high_demand,high_supply,1
83,18,Urban,Gold,12,4.98,Morning,Economy,81,286.4092944,4.61,high_demand,low_supply,1
34,9,Urban,Silver,65,4.69,Afternoon,Premium,107,508.7118175,3.78,low_demand,low_supply,0
32,6,Rural,Gold,75,4.47,Morning,Premium,154,721.7212691,5.33,low_demand,low_supply,0
22,7,Urban,Gold,15,3.53,Evening,Premium,180,552.2693747,3.14,low_demand,low_supply,0
49,20,Rural,Silver,52,4.74,Afternoon,Premium,162,510.6268914,2.45,low_demand,low_supply,0
61,38,Urban,Silver,95,3.5,Night,Economy,164,415.9794524,1.61,low_demand,low_supply,0
21,9,Urban,Gold,48,4.4,Afternoon,Premium,152,660.059708,2.33,low_demand,low_supply,0
40,18,Urban,Silver,16,4.59,Afternoon,Premium,157,644.0445755,2.22,low_demand,low_supply,0
22,6,Urban,Silver,82,4.3,Morning,Premium,172,710.8843138,3.67,low_demand,low_supply,0
34,11,Suburban,Gold,66,4.59,Morning,Economy,134,478.2001536,3.09,low_demand,low_supply,0
56,31,Rural,Silver,9,4.79,Afternoon,Premium,167,744.4180992,1.81,low_demand,low_supply,0
93,36,Urban,Gold,60,4.63,Afternoon,Economy,111,478.7697584,2.58,high_demand,low_supply,1
38,9,Suburban,Gold,57,4.26,Morning,Premium,16,104.0560727,4.22,low_demand,low_supply,0
76,26,Suburban,Silver,74,4.18,Evening,Premium,159,486.1839276,2.92,low_demand,low_supply,0
47,24,Suburban,Silver,11,3.62,Night,Premium,148,657.0936874,1.96,low_demand,low_supply,0
64,10,Urban,Silver,62,4.98,Evening,Economy,38,96.30074138,6.4,low_demand,low_supply,0
56,10,Rural,Gold,28,3.8,Afternoon,Economy,144,609.9082747,5.6,low_demand,low_supply,0
44,25,Rural,Silver,32,4.43,Night,Premium,154,502.1012063,1.76,low_demand,low_supply,0
34,6,Rural,Regular,11,3.75,Morning,Economy,179,465.7190585,5.67,low_demand,low_supply,0
45,18,Suburban,Silver,70,3.84,Night,Economy,122,308.4359179,2.5,low_demand,low_supply,0
31,7,Rural,Regular,22,4.88,Afternoon,Premium,172,806.0212702,4.43,low_demand,low_supply,0
95,28,Rural,Regular,34,4.48,Evening,Economy,163,576.967572,3.39,high_demand,low_supply,1
82,59,Rural,Regular,39,3.5,Night,Premium,67,284.2944207,1.39,high_demand,high_supply,1
95,38,Urban,Silver,39,3.71,Afternoon,Premium,97,478.3662772,2.5,high_demand,low_supply,1
27,12,Suburban,Silver,1,4.93,Evening,Economy,41,119.4824,2.25,low_demand,low_supply,0
94,23,Suburban,Regular,71,4.15,Night,Premium,154,532.5097779,4.09,high_demand,low_supply,1
66,15,Urban,Silver,88,4.21,Evening,Premium,65,291.9008795,4.4,low_demand,low_supply,0
40,6,Rural,Gold,37,4.75,Afternoon,Premium,148,707.8553932,6.67,low_demand,low_supply,0
56,27,Suburban,Silver,62,4.74,Evening,Premium,129,435.7154538,2.07,low_demand,low_supply,0
54,6,Suburban,Gold,48,4.26,Morning,Economy,154,504.0841142,9.0,low_demand,low_supply,0
46,15,Suburban,Silver,96,4.69,Morning,Premium,116,497.3770093,3.07,low_demand,low_supply,0
65,16,Suburban,Silver,82,3.62,Evening,Premium,146,460.8002859,4.06,low_demand,low_supply,0
96,48,Urban,Gold,11,4.19,Night,Economy,79,272.4960776,2.0,high_demand,high_supply,1
47,9,Suburban,Gold,88,4.06,Night,Economy,93,246.9535423,5.22,low_demand,low_supply,0
20,7,Urban,Silver,55,4.43,Night,Economy,153,482.7422075,2.86,low_demand,low_supply,0
94,57,Suburban,Regular,13,4.04,Afternoon,Economy,60,205.4957596,1.65,high_demand,high_supply,1
52,30,Suburban,Silver,25,3.67,Night,Economy,142,531.6062153,1.73,low_demand,low_supply,0
71,6,Suburban,Gold,48,4.05,Afternoon,Economy,157,550.9983737,11.83,low_demand,low_supply,0
46,8,Rural,Gold,39,3.97,Evening,Premium,123,396.9586998,5.75,low_demand,low_supply,0
53,40,Urban,Regular,13,3.79,Night,Economy,118,318.2115758,1.32,low_demand,high_supply,0
26,11,Urban,Regular,97,3.64,Morning,Economy,141,427.0550612,2.36,low_demand,low_supply,0
100,46,Suburban,Gold,74,3.74,Afternoon,Economy,171,448.3128535,2.17,high_demand,high_supply,1
74,38,Urban,Regular,95,5.0,Evening,Economy,167,455.4083399,1.95,low_demand,low_supply,0
53,5,Rural,Gold,100,4.46,Night,Premium,33,179.1708197,10.6,low_demand,low_supply,0
75,63,Urban,Gold,24,4.18,Afternoon,Economy,29,104.1858826,1.19,low_demand,high_supply,0
44,9,Suburban,Regular,54,4.2,Morning,Premium,13,91.67748869,4.89,low_demand,low_supply,0
76,60,Suburban,Regular,81,3.6,Evening,Premium,72,264.0857364,1.27,low_demand,high_supply,0
88,18,Suburban,Silver,80,4.83,Evening,Economy,109,424.6569323,4.89,high_demand,low_supply,1
54,35,Rural,Gold,95,4.98,Evening,Premium,61,218.9504185,1.54,low_demand,low_supply,0
49,30,Urban,Regular,7,3.97,Afternoon,Premium,77,248.1703336,1.63,low_demand,low_supply,0
25,8,Urban,Silver,11,4.0,Afternoon,Economy,109,422.4367392,3.12,low_demand,low_supply,0
36,18,Suburban,Gold,15,4.21,Afternoon,Economy,86,280.5240757,2.0,low_demand,low_supply,0
42,25,Suburban,Silver,44,4.99,Morning,Premium,122,565.9834811,1.68,low_demand,low_supply,0
29,14,Rural,Gold,2,4.69,Night,Premium,180,828.2131346,2.07,low_demand,low_supply,0
52,16,Urban,Silver,63,4.13,Morning,Economy,49,132.8468058,3.25,low_demand,low_supply,0
37,6,Rural,Gold,59,4.73,Evening,Economy,20,86.17345484,6.17,low_demand,low_supply,0
91,17,Rural,Gold,21,4.84,Afternoon,Premium,149,545.3868063,5.35,high_demand,low_supply,1
29,8,Rural,Silver,79,4.26,Morning,Premium,133,531.0619846,3.62,low_demand,low_supply,0
62,45,Rural,Regular,87,4.74,Afternoon,Premium,20,108.6023565,1.38,low_demand,high_supply,0
69,7,Urban,Regular,51,4.56,Afternoon,Premium,103,462.6630441,9.86,low_demand,low_supply,0
32,14,Suburban,Silver,80,3.56,Afternoon,Premium,80,254.9510771,2.29,low_demand,low_supply,0
78,31,Urban,Gold,6,3.78,Evening,Premium,64,271.012665,2.52,low_demand,low_supply,0
53,10,Rural,Silver,10,3.58,Evening,Economy,168,424.4884285,5.3,low_demand,low_supply,0
60,50,Suburban,Silver,54,4.57,Afternoon,Premium,38,151.7772865,1.2,low_demand,high_supply,0
97,58,Urban,Gold,1,4.11,Morning,Premium,83,383.0749064,1.67,high_demand,high_supply,1
87,77,Urban,Gold,12,3.56,Night,Premium,11,97.78450586,1.13,high_demand,high_supply,1
74,20,Rural,Silver,68,4.36,Night,Economy,32,119.5940733,3.7,low_demand,low_supply,0
90,58,Urban,Gold,1,4.7,Afternoon,Premium,21,126.5727707,1.55,high_demand,high_supply,1
21,8,Rural,Regular,69,4.24,Afternoon,Premium,176,829.5343799,2.62,low_demand,low_supply,0
70,35,Urban,Silver,35,4.9,Night,Premium,108,418.8153495,2.0,low_demand,low_supply,0
37,7,Suburban,Regular,1,3.92,Evening,Economy,62,233.2131028,5.29,low_demand,low_supply,0
30,11,Rural,Gold,93,3.56,Night,Premium,155,701.1414725,2.73,low_demand,low_supply,0
64,22,Urban,Regular,26,4.24,Evening,Premium,115,388.7296675,2.91,low_demand,low_supply,0
40,23,Urban,Silver,6,3.96,Night,Economy,178,528.6080729,1.74,low_demand,low_supply,0
28,18,Urban,Gold,100,3.62,Afternoon,Premium,92,382.0384386,1.56,low_demand,low_supply,0
85,19,Rural,Gold,17,3.69,Morning,Economy,164,587.3312643,4.47,high_demand,low_supply,1
92,77,Urban,Gold,100,4.26,Night,Economy,47,167.7398193,1.19,high_demand,high_supply,1
93,56,Suburban,Regular,56,4.65,Evening,Premium,86,304.8360145,1.66,high_demand,high_supply,1
36,25,Rural,Regular,26,3.57,Afternoon,Economy,122,354.154098,1.44,low_demand,low_supply,0
94,50,Suburban,Regular,88,4.95,Night,Premium,49,250.4603273,1.88,high_demand,high_supply,1
27,8,Rural,Gold,48,4.18,Afternoon,Economy,167,495.2197782,3.38,low_demand,low_supply,0
86,41,Rural,Regular,96,4.5,Morning,Premium,68,301.5483736,2.1,high_demand,high_supply,1
22,11,Rural,Regular,39,4.63,Evening,Economy,101,433.0345436,2.0,low_demand,low_supply,0
